extractNo,varType,mean,count,std,ci95
5,0D,0.04503779220706063,1000,0.032218197135933935,"[0.043040887660004884, 0.04703469675411638]"
5,1D,0.11902688544209838,1000,0.04824604216600319,"[0.11603656476796975, 0.12201720611622702]"
6,0D,0.04296307420955785,1000,0.03266969110341979,"[0.0409381857764753, 0.04498796264264039]"
6,1D,0.10559564999321691,1000,0.042453922856927416,"[0.10296432859321224, 0.10822697139322159]"
7,0D,0.040056842633068995,1000,0.030220896689486007,"[0.0381837320502292, 0.04192995321590879]"
7,1D,0.098944277048289,1000,0.03881290768198301,"[0.09653862810686631, 0.10134992598971168]"
8,0D,0.03666514572663772,1000,0.026695980067005794,"[0.03501051173954674, 0.0383197797137287]"
8,1D,0.09231782587866995,1000,0.0352740237123235,"[0.09013151923814323, 0.09450413251919666]"
9,0D,0.036657927500365284,1000,0.027358923387222775,"[0.034962203860585295, 0.03835365114014527]"
9,1D,0.08715893025799964,1000,0.03237066753483038,"[0.08515257549771306, 0.08916528501828623]"
10,0D,0.033088250197567275,1000,0.023614463879856815,"[0.03162461056251844, 0.03455188983261611]"
10,1D,0.08406778863999602,1000,0.0320767986649073,"[0.08207964806097201, 0.08605592921902003]"
11,0D,0.029544439140860804,1000,0.021925665857872922,"[0.02818547229165811, 0.0309034059900635]"
11,1D,0.07760804743220276,1000,0.02821560804994752,"[0.0758592259269162, 0.07935686893748932]"
12,0D,0.028175139095309523,1000,0.020550094552320947,"[0.026901431038933336, 0.02944884715168571]"
12,1D,0.07389731625884603,1000,0.026384276661594562,"[0.07226200184897945, 0.07553263066871262]"
13,0D,0.026584500977851082,1000,0.01954963986912847,"[0.025372801745170433, 0.02779620021053173]"
13,1D,0.07118720441365514,1000,0.02543986842529602,"[0.06961042503271599, 0.0727639837945943]"
14,0D,0.02401025502595816,1000,0.017768769408028653,"[0.02290893528802339, 0.02511157476389293]"
14,1D,0.06766427869397108,1000,0.024136409429021358,"[0.06616828853862328, 0.06916026884931889]"
15,0D,0.022349296446797277,1000,0.016771520911313738,"[0.02130978681106135, 0.023388806082533204]"
15,1D,0.06506269352799496,1000,0.022056851979627326,"[0.06369559567872617, 0.06642979137726375]"
16,0D,0.021339715556640257,1000,0.016240309295373376,"[0.02033313075797217, 0.022346300355308345]"
16,1D,0.060829232114124804,1000,0.021205056729057925,"[0.0595149290814575, 0.062143535146792106]"
17,0D,0.020159272607081793,1000,0.015288466801686081,"[0.019211683617387915, 0.02110686159677567]"
17,1D,0.058808786682112486,1000,0.02131787327206366,"[0.057487491207665754, 0.06013008215655922]"
18,0D,0.019637624190933515,1000,0.014155755098787446,"[0.018760241399943995, 0.020515006981923035]"
18,1D,0.05646045865648131,1000,0.020756186133465634,"[0.05517397691156627, 0.05774694040139635]"
19,0D,0.017696814247538908,1000,0.012925598410141157,"[0.01689567735804364, 0.018497951137034174]"
19,1D,0.052622036407724865,1000,0.01920051837567934,"[0.051431975949392826, 0.053812096866056904]"
20,0D,0.0163912591716294,1000,0.011446679531235498,"[0.01568178662392064, 0.01710073171933816]"
20,1D,0.05014225564346138,1000,0.018439425901002993,"[0.04899936818543717, 0.05128514310148559]"
21,0D,0.015450958700017637,1000,0.010913680250352428,"[0.014774521789997793, 0.016127395610037478]"
21,1D,0.04582708091948362,1000,0.01644777015025075,"[0.04480763756381147, 0.046846524275155774]"
22,0D,0.015374083473927871,1000,0.011086100434885397,"[0.014686959850152899, 0.016061207097702843]"
22,1D,0.0421102409934985,1000,0.014092186999803412,"[0.041236798194103585, 0.04298368379289341]"
23,0D,0.014541929105934678,1000,0.010056892032395202,"[0.01391859647984121, 0.015165261732028146]"
23,1D,0.039570164430491044,1000,0.013519852713037496,"[0.03873219527770822, 0.040408133583273866]"
24,0D,0.01470243939936702,1000,0.010033017835137346,"[0.014080586511350156, 0.015324292287383884]"
24,1D,0.03759395910315406,1000,0.012813095345328568,"[0.036799795225858516, 0.0383881229804496]"
25,0D,0.015796644636444337,1000,0.010603700283233913,"[0.015139420483836818, 0.016453868789051855]"
25,1D,0.035460977656746245,1000,0.01236612944272322,"[0.03469451701310855, 0.03622743830038394]"
26,0D,0.015726626034490685,1000,0.010530379929718347,"[0.015073946324475942, 0.016379305744505426]"
26,1D,0.03260298410010854,1000,0.011083003767756968,"[0.03191605240975068, 0.033289915790466404]"
27,0D,0.015826103679708478,1000,0.01073735040530069,"[0.015160595806713266, 0.01649161155270369]"
27,1D,0.03139687357364133,1000,0.011288135316339024,"[0.03069722769817932, 0.032096519449103335]"
28,0D,0.015875851318305004,1000,0.01084141155756402,"[0.015203893668270754, 0.016547808968339253]"
28,1D,0.029860239089818424,1000,0.010153501742020624,"[0.02923091853188548, 0.030489559647751366]"
29,0D,0.016031229329593544,1000,0.010258381087851544,"[0.015395408282458852, 0.016667050376728238]"
29,1D,0.02780230285090844,1000,0.009727905345482556,"[0.027199361030925098, 0.02840524467089178]"
30,0D,0.016100292720519386,1000,0.009968807655311432,"[0.015482419620680012, 0.01671816582035876]"
30,1D,0.026385212577146013,1000,0.009443941411289274,"[0.025799871024148376, 0.02697055413014365]"
