extractNo,varType,mean,count,std,ci95
5,0D,-0.0009499908438134915,1000,0.02554620326809831,"[-0.002533360926591315, 0.0006333792389643321]"
5,1D,0.06855042158450106,1000,0.07392506204288625,"[0.06396849876889536, 0.07313234440010676]"
6,0D,-0.0017796455665184307,1000,0.024147681697877958,"[-0.0032763343843283345, -0.00028295674870852726]"
6,1D,0.06423472322541468,1000,0.07511984804549363,"[0.05957874680614833, 0.06889069964468103]"
7,0D,-0.0013499258847153748,1000,0.0231903370060213,"[-0.002787277863775352, 8.742609434460248e-05]"
7,1D,0.06452336387023036,1000,0.07477994997088568,"[0.05988845455189012, 0.0691582731885706]"
8,0D,-0.002353875583978942,1000,0.021768527084138106,"[-0.003703102871080571, -0.0010046482968773132]"
8,1D,0.059825795080388454,1000,0.07479417231897584,"[0.05519000425178086, 0.06446158590899605]"
9,0D,-0.0024372985423222896,1000,0.01961055661173648,"[-0.0036527734338268163, -0.0012218236508177627]"
9,1D,0.05710603158332201,1000,0.07383564715507814,"[0.05252965075987947, 0.06168241240676455]"
10,0D,-0.0025685001741606183,1000,0.019765031358831862,"[-0.003793549509684423, -0.0013434508386368136]"
10,1D,0.0583709787382624,1000,0.07402168294955319,"[0.0537830672968174, 0.0629588901797074]"
11,0D,-0.003085249957116879,1000,0.01842522583394544,"[-0.004227257285866441, -0.0019432426283673167]"
11,1D,0.05440965694263589,1000,0.07223451443863962,"[0.04993251535310845, 0.058886798532163324]"
12,0D,-0.003961831362774518,1000,0.016993561310272624,"[-0.005015103205018783, -0.0029085595205302524]"
12,1D,0.049421186657468044,1000,0.07095099578583751,"[0.04502359837823905, 0.05381877493669704]"
13,0D,-0.004819156417977946,1000,0.016067393101250525,"[-0.005815023759898017, -0.003823289076057876]"
13,1D,0.04571530472449054,1000,0.06754760601936527,"[0.04152866072843782, 0.049901948720543265]"
14,0D,-0.005372417740309612,1000,0.015320620354647752,"[-0.006321999627863114, -0.0044228358527561105]"
14,1D,0.039473573442825094,1000,0.06471393399760407,"[0.0354625622582933, 0.04348458462735689]"
15,0D,-0.005575646168463105,1000,0.014841227408201735,"[-0.006495514973358831, -0.004655777363567378]"
15,1D,0.039860452143173866,1000,0.06486474118491768,"[0.03584009383233315, 0.04388081045401458]"
16,0D,-0.004759225484305746,1000,0.014498839866410004,"[-0.005657872889500724, -0.003860578079110768]"
16,1D,0.03994374814250306,1000,0.06316638903397216,"[0.03602865478855661, 0.04385884149644951]"
17,0D,-0.005121212797122314,1000,0.013911824098723775,"[-0.005983476588090206, -0.004258949006154423]"
17,1D,0.036617099644110085,1000,0.06065887253693268,"[0.03285742377282504, 0.04037677551539513]"
18,0D,-0.005708057941840568,1000,0.012815655470905957,"[-0.006502380497363356, -0.0049137353863177805]"
18,1D,0.0333003966846193,1000,0.05682429187082405,"[0.029778390585354607, 0.036822402783883997]"
19,0D,-0.006183976437607118,1000,0.01157747825828733,"[-0.006901555974409554, -0.005466396900804682]"
19,1D,0.029646948870871975,1000,0.052158228005449225,"[0.0264141484062462, 0.03287974933549775]"
20,0D,-0.006779979701953605,1000,0.01017904752006757,"[-0.007410883603613845, -0.006149075800293365]"
20,1D,0.02560381392475901,1000,0.04702195340058478,"[0.022689363058346512, 0.028518264791171505]"
21,0D,-0.007259004119747807,1000,0.009774540345055259,"[-0.007864836406950829, -0.006653171832544784]"
21,1D,0.022242679686521806,1000,0.04256223024185675,"[0.01960464532525078, 0.02488071404779283]"
22,0D,-0.007112867066752721,1000,0.008910971868700567,"[-0.007665174825260022, -0.006560559308245419]"
22,1D,0.01877758285045975,1000,0.03836181175164785,"[0.016399893124465662, 0.021155272576453835]"
23,0D,-0.0073649955284520495,1000,0.00851429920598887,"[-0.007892717260605375, -0.006837273796298725]"
23,1D,0.01655717746001801,1000,0.03435963777667844,"[0.014427545046945722, 0.018686809873090297]"
24,0D,-0.007233985141068703,1000,0.007843747996656592,"[-0.007720145678680328, -0.006747824603457077]"
24,1D,0.014597111105533087,1000,0.03086127595395578,"[0.012684309404668762, 0.016509912806397412]"
25,0D,-0.007168506216480488,1000,0.007399629463616997,"[-0.007627140002228355, -0.006709872430732621]"
25,1D,0.012413561025677032,1000,0.027290852903239828,"[0.01072205643820504, 0.014105065613149023]"
26,0D,-0.006851104111414423,1000,0.006502830920233431,"[-0.007254153747573788, -0.006448054475255058]"
26,1D,0.011417885759613536,1000,0.02469745611647881,"[0.009887121570306991, 0.012948649948920081]"
27,0D,-0.006604731972581084,1000,0.0059213983527843725,"[-0.006971744044849255, -0.006237719900312914]"
27,1D,0.010693234175112868,1000,0.021773744475358636,"[0.0093436835107531, 0.012042784839472636]"
28,0D,-0.006140475787205515,1000,0.005721406590993597,"[-0.0064950922416553225, -0.005785859332755707]"
28,1D,0.009890345048119212,1000,0.019467077540220548,"[0.008683763081600793, 0.011096927014637631]"
29,0D,-0.005989260189126458,1000,0.004965399904492117,"[-0.0062970188636853, -0.005681501514567616]"
29,1D,0.009052859870341682,1000,0.017552981578576436,"[0.007964914800642207, 0.010140804940041158]"
30,0D,-0.0059234827435123115,1000,0.004625856318201927,"[-0.006210196288558606, -0.005636769198466017]"
30,1D,0.008666189892110312,1000,0.01610933199862066,"[0.007667723150400627, 0.009664656633819997]"
