extractNo,varType,mean,count,std,ci95
5,0D,0.08126776026068902,1000,0.06107012093705533,"[0.0774825949494856, 0.08505292557189244]"
5,1D,0.0700830037325828,1000,0.02330253464465298,"[0.06863869767183392, 0.07152730979333169]"
6,0D,0.07666905398311753,1000,0.056900476575834975,"[0.07314232590691506, 0.08019578205932]"
6,1D,0.06484788642360656,1000,0.02094814623089182,"[0.06354950686858793, 0.06614626597862519]"
7,0D,0.06963976578817145,1000,0.05407364281987625,"[0.06628824668338436, 0.07299128489295854]"
7,1D,0.060302952709571506,1000,0.020283025561485608,"[0.059045797760742785, 0.061560107658400226]"
8,0D,0.06566248043814651,1000,0.04933794342799052,"[0.06260448302264719, 0.06872047785364584]"
8,1D,0.054851947264344024,1000,0.01818178581890119,"[0.0537250285040493, 0.055978866024638745]"
9,0D,0.06569329393492994,1000,0.048145630568765925,"[0.0627091968360763, 0.06867739103378358]"
9,1D,0.05290387050520386,1000,0.018599408046931633,"[0.05175106725104417, 0.054056673759363544]"
10,0D,0.05926378704685818,1000,0.04448317742425379,"[0.05650669114570651, 0.06202088294800986]"
10,1D,0.05048145595737166,1000,0.0179980946291741,"[0.04936592249497156, 0.05159698941977176]"
11,0D,0.05782099952507885,1000,0.041986651676066564,"[0.05521863989291712, 0.060423359157240585]"
11,1D,0.04813163830493789,1000,0.01577905484120699,"[0.047153642353528646, 0.04910963425634714]"
12,0D,0.050944304702669654,1000,0.03868760070983144,"[0.048546422367845454, 0.053342187037493854]"
12,1D,0.04457917730571869,1000,0.015385501803992216,"[0.04362557402427189, 0.04553278058716549]"
13,0D,0.050081556709064036,1000,0.038134085480553366,"[0.04771798160358437, 0.0524451318145437]"
13,1D,0.04279406414379131,1000,0.014656049981600387,"[0.04188567275470604, 0.043702455532876584]"
14,0D,0.04501171424019922,1000,0.033298642666216106,"[0.04294784298538005, 0.0470755854950184]"
14,1D,0.040813810528607455,1000,0.013428883237623023,"[0.039981479722325894, 0.04164614133488902]"
15,0D,0.0428154256580941,1000,0.03157344926585336,"[0.040858482998043885, 0.04477236831814431]"
15,1D,0.039075111904056006,1000,0.013047454781743786,"[0.03826642227840004, 0.03988380152971197]"
16,0D,0.04021435913848771,1000,0.029317916562190134,"[0.03839721584377674, 0.042031502433198684]"
16,1D,0.0375131607934663,1000,0.012077844217605563,"[0.03676456825320067, 0.038261753333731933]"
17,0D,0.03579469297706458,1000,0.026602204615922904,"[0.03414587125264862, 0.03744351470148054]"
17,1D,0.035359348669714255,1000,0.011048665290656517,"[0.034674545300217165, 0.036044152039211345]"
18,0D,0.03603320855090146,1000,0.02601103848543288,"[0.03442102768286428, 0.03764538941893864]"
18,1D,0.03432657510451374,1000,0.010510482622957855,"[0.03367512864234886, 0.034978021566678626]"
19,0D,0.03141333152058761,1000,0.022745711423708008,"[0.030003537720630972, 0.03282312532054425]"
19,1D,0.03237475667736028,1000,0.00978557891598523,"[0.03176824021244271, 0.03298127314227784]"
20,0D,0.029052045664376004,1000,0.021486848181799547,"[0.027720277016518413, 0.030383814312233595]"
20,1D,0.0305944837015559,1000,0.008888676920095168,"[0.03004355779827962, 0.031145409604832176]"
21,0D,0.027536275647500028,1000,0.021162024931538268,"[0.026224639753275405, 0.02884791154172465]"
21,1D,0.02949988033401744,1000,0.008318689996367605,"[0.028984282586284806, 0.030015478081750077]"
22,0D,0.025028204289387106,1000,0.01937370687410159,"[0.023827409496711714, 0.0262289990820625]"
22,1D,0.027620379739795857,1000,0.008294247330305999,"[0.027106296964201314, 0.0281344625153904]"
23,0D,0.023748786543417808,1000,0.01812169099194904,"[0.022625592499086834, 0.024871980587748782]"
23,1D,0.02621618069540855,1000,0.007203889792886118,"[0.025769678980144716, 0.02666268241067238]"
24,0D,0.022732809788826257,1000,0.01702415353417301,"[0.021677641820900175, 0.02378797775675234]"
24,1D,0.02520630239861539,1000,0.007030842506168714,"[0.024770526265302767, 0.025642078531928014]"
25,0D,0.021579486681061952,1000,0.015625368112620223,"[0.020611016331778805, 0.0225479570303451]"
25,1D,0.02386506254878181,1000,0.006369176165856408,"[0.023470296920123705, 0.024259828177439918]"
26,0D,0.017713109620298113,1000,0.01346377363853946,"[0.016878616284563254, 0.01854760295603297]"
26,1D,0.02234580153547299,1000,0.005535385559683281,"[0.022002714783995212, 0.02268888828695077]"
27,0D,0.017491304401895856,1000,0.013158702207787615,"[0.016675719589337352, 0.01830688921445436]"
27,1D,0.021221319353953254,1000,0.005583546150879381,"[0.020875247578107332, 0.021567391129799177]"
28,0D,0.016156109000632767,1000,0.01153817308468945,"[0.015440965623729324, 0.01687125237753621]"
28,1D,0.020068783471702486,1000,0.004923718703432915,"[0.019763608224750432, 0.02037395871865454]"
29,0D,0.014604974886226318,1000,0.010756235000977811,"[0.013938296533864497, 0.015271653238588138]"
29,1D,0.018942616371031163,1000,0.004763200203943048,"[0.018647390163752726, 0.0192378425783096]"
30,0D,0.014467004876072588,1000,0.010677046747633272,"[0.013805234662502951, 0.015128775089642225]"
30,1D,0.017982543960194067,1000,0.004568606227860196,"[0.017699378812509686, 0.018265709107878447]"
