extractNo,varType,mean,count,std,ci95
5,1D,0.16974864546482202,1000,0.05286751933940847,"[0.1664718826678536, 0.17302540826179044]"
6,1D,0.1560600898317463,1000,0.0492405540892391,"[0.1530081286700003, 0.1591120509934923]"
7,1D,0.1449587125605738,1000,0.04514185700544165,"[0.14216079127601605, 0.14775663384513155]"
8,1D,0.1318684920933895,1000,0.0423861585350526,"[0.12924137076956876, 0.13449561341721022]"
9,1D,0.12528290052938512,1000,0.0406119562871853,"[0.12276574540017218, 0.12780005565859806]"
10,1D,0.11946848192527038,1000,0.03780368055607221,"[0.11712538552917603, 0.12181157832136472]"
11,1D,0.11390041916130181,1000,0.035227279477833336,"[0.1117170097584451, 0.11608382856415851]"
12,1D,0.1054753960320883,1000,0.03380486111688123,"[0.10338014903263414, 0.10757064303154247]"
13,1D,0.10050675200409988,1000,0.031896466597719865,"[0.09852978852239846, 0.10248371548580129]"
14,1D,0.09600323255338807,1000,0.029216652777263083,"[0.09419236565309233, 0.0978140994536838]"
15,1D,0.09210122393924887,1000,0.028323731667270598,"[0.09034570086273021, 0.09385674701576753]"
16,1D,0.08780058858429193,1000,0.02651325798932577,"[0.08615727982890858, 0.08944389733967528]"
17,1D,0.083174748624001,1000,0.023402011311823716,"[0.08172427693554299, 0.084625220312459]"
18,1D,0.08115928408604602,1000,0.023333255658701993,"[0.07971307391711921, 0.08260549425497282]"
19,1D,0.07557138543718524,1000,0.020682877675861897,"[0.07428944739754673, 0.07685332347682375]"
20,1D,0.07291421673929312,1000,0.019720097125298187,"[0.07169195245641777, 0.07413648102216847]"
21,1D,0.06971662115377551,1000,0.01905237802046318,"[0.06853574252978652, 0.07089749977776451]"
22,1D,0.06628782511720294,1000,0.01903122272154298,"[0.06510825771222566, 0.06746739252218022]"
23,1D,0.0629074238497345,1000,0.01732282367636902,"[0.06183374411460727, 0.06398110358486173]"
24,1D,0.05999668617357856,1000,0.016499290994782503,"[0.05897404952287877, 0.061019322824278355]"
25,1D,0.056643009317690445,1000,0.015414406770048631,"[0.05568761448788646, 0.05759840414749443]"
26,1D,0.053440474099612105,1000,0.013847771784641512,"[0.05258218031220154, 0.05429876788702267]"
27,1D,0.04982247377821126,1000,0.012877857248447233,"[0.049024295916574256, 0.05062065163984826]"
28,1D,0.04762663761349874,1000,0.012333187240221382,"[0.04686221874872559, 0.04839105647827188]"
29,1D,0.044210263955409244,1000,0.011010468116660883,"[0.04352782807128431, 0.04489269983953418]"
30,1D,0.04179931056709512,1000,0.010580386698108537,"[0.04114353140546424, 0.042455089728726]"
