extractNo,varType,mean,count,std,ci95
5,1D,0.27031161840329254,1000,0.09338981874692924,"[0.264523257468085, 0.27609997933850006]"
6,1D,0.25025710039826593,1000,0.09433691384511245,"[0.244410037900706, 0.2561041628958258]"
7,1D,0.238349579253265,1000,0.09085729261721316,"[0.23271818591381183, 0.24398097259271817]"
8,1D,0.22359611763235798,1000,0.07930249840328395,"[0.2186808978580716, 0.22851133740664437]"
9,1D,0.20648762229395,1000,0.07274882608918165,"[0.20197860333806225, 0.21099664124983777]"
10,1D,0.20257307436573108,1000,0.06992228162268406,"[0.19823924645091212, 0.20690690228055003]"
11,1D,0.19058017236229519,1000,0.0651456831757082,"[0.1865424010864614, 0.19461794363812898]"
12,1D,0.17735817149468724,1000,0.0616186887407823,"[0.17353900559875188, 0.1811773373906226]"
13,1D,0.17079625597336245,1000,0.05977765508444506,"[0.16709119852564694, 0.17450131342107797]"
14,1D,0.16323267119102156,1000,0.05555894503986434,"[0.15978909210086867, 0.16667625028117444]"
15,1D,0.15473564360223446,1000,0.052819124759190775,"[0.151461880332424, 0.15800940687204493]"
16,1D,0.14596945640670053,1000,0.04887293968957664,"[0.1429402802215053, 0.14899863259189577]"
17,1D,0.13778937657146473,1000,0.04535315400024391,"[0.13497835896348703, 0.14060039417944242]"
18,1D,0.1299708084515291,1000,0.04081831292060442,"[0.12744086320566717, 0.13250075369739106]"
19,1D,0.12321152369455025,1000,0.03947420656432526,"[0.120764887023754, 0.12565816036534652]"
20,1D,0.11911699673357908,1000,0.036473637634220735,"[0.11685633725185393, 0.12137765621530422]"
21,1D,0.11401262799303781,1000,0.034831351542442456,"[0.11185375845785753, 0.11617149752821809]"
22,1D,0.11104249549997847,1000,0.033807589475574655,"[0.1089470793951005, 0.11313791160485644]"
23,1D,0.10706992958170483,1000,0.03374882128012002,"[0.1049781559673185, 0.10916170319609116]"
24,1D,0.10370920659508656,1000,0.03316113360940218,"[0.10165385823990869, 0.10576455495026443]"
25,1D,0.10018337138838401,1000,0.032339076623529736,"[0.0981789746530656, 0.10218776812370242]"
26,1D,0.09524594309606997,1000,0.030961602059140836,"[0.09332692311878295, 0.097164963073357]"
27,1D,0.0890132086612857,1000,0.027037179147110797,"[0.08733742693611247, 0.09068899038645893]"
28,1D,0.08467892225581934,1000,0.025611404455615463,"[0.08309151096157096, 0.08626633355006773]"
29,1D,0.07891885439391025,1000,0.024028136453642858,"[0.07742957506710274, 0.08040813372071776]"
30,1D,0.07187833797328212,1000,0.021798682942687914,"[0.07052724160670332, 0.07322943433986093]"
