extractNo,varType,mean,count,std,ci95
5,0D,1.3423832082737592,1000,0.34257584870526536,"[1.321150137189591, 1.3636162793579274]"
5,1D,0.8089428190238165,1000,0.2158023347377204,"[0.7955672517416124, 0.8223183863060206]"
6,0D,1.310896945468398,1000,0.38344258716899865,"[1.287130927692109, 1.3346629632446871]"
6,1D,0.7970038392486597,1000,0.22649227635185606,"[0.7829657025207798, 0.8110419759765396]"
7,0D,1.291072304803024,1000,0.3881927721805713,"[1.267011867509437, 1.3151327420966108]"
7,1D,0.7880658309016393,1000,0.22735973376278534,"[0.7739739286064015, 0.8021577331968771]"
8,0D,1.2621666090793207,1000,0.40140768314540337,"[1.2372871031183197, 1.2870461150403216]"
8,1D,0.7717141054398112,1000,0.2422486141909244,"[0.7566993807749022, 0.7867288301047203]"
9,0D,1.2595006091895782,1000,0.4081676148519848,"[1.2342021183205856, 1.2847991000585708]"
9,1D,0.7641348526347888,1000,0.24421614546925716,"[0.7489981791178194, 0.7792715261517581]"
10,0D,1.2334055775192851,1000,0.4158133813838326,"[1.2076331971310015, 1.2591779579075688]"
10,1D,0.7522740803508818,1000,0.25269668719734223,"[0.7366117774119166, 0.767936383289847]"
11,0D,1.1835143526027236,1000,0.4353059406584267,"[1.1565338108736622, 1.210494894331785]"
11,1D,0.7221896937418446,1000,0.2671901706740457,"[0.7056290753901581, 0.7387503120935311]"
12,0D,1.158311109000862,1000,0.4383491496755741,"[1.1311419472227537, 1.1854802707789702]"
12,1D,0.7054702329927272,1000,0.2680788399287044,"[0.6888545343499873, 0.722085931635467]"
13,0D,1.1172486965190278,1000,0.4433112810833555,"[1.0897719786498856, 1.14472541438817]"
13,1D,0.6794172762574686,1000,0.26912002809995716,"[0.6627370441032867, 0.6960975084116505]"
14,0D,1.0768888410887383,1000,0.44048378777760266,"[1.0495873730703311, 1.1041903091071454]"
14,1D,0.6546926507067036,1000,0.2665825992465192,"[0.6381696900222406, 0.6712156113911666]"
15,0D,1.0494920859955261,1000,0.4643830719833682,"[1.020709324995376, 1.0782748469956762]"
15,1D,0.6387590822111645,1000,0.2812506258252354,"[0.6213269878204364, 0.6561911766018926]"
16,0D,1.0225707657907306,1000,0.4715186845781332,"[0.9933457349398997, 1.0517957966415614]"
16,1D,0.6175197078389596,1000,0.2796519345335264,"[0.6001867013610741, 0.6348527143168451]"
17,0D,0.9773731075175046,1000,0.47187963543225303,"[0.9481257047009547, 1.0066205103340546]"
17,1D,0.5914507068282461,1000,0.27710551219025514,"[0.5742755292423544, 0.6086258844141378]"
18,0D,0.9271235109280116,1000,0.4739097293301971,"[0.897750281588064, 0.9564967402679592]"
18,1D,0.5618675221562633,1000,0.2742732516560186,"[0.5448678898969894, 0.5788671544155373]"
19,0D,0.8850736335700705,1000,0.4659131047148555,"[0.8561960401587287, 0.9139512269814123]"
19,1D,0.5352148104439258,1000,0.2624117802420464,"[0.5189503597996068, 0.5514792610882449]"
20,0D,0.8263803616609623,1000,0.4497539844766492,"[0.7985043208983907, 0.8542564024235338]"
20,1D,0.5034699652411238,1000,0.25314496942141423,"[0.487779877482051, 0.5191600530001965]"
21,0D,0.7711797830071739,1000,0.43171900094420174,"[0.7444215621049152, 0.7979380039094327]"
21,1D,0.4725084682818924,1000,0.2448879998396976,"[0.4573301527996191, 0.48768678376416574]"
22,0D,0.7234892949405118,1000,0.42050686270681636,"[0.6974260095659608, 0.7495525803150629]"
22,1D,0.446973746437421,1000,0.23800806853929576,"[0.43222185351502085, 0.46172563935982114]"
23,0D,0.6762762239167794,1000,0.40303504925039685,"[0.6512958527595953, 0.7012565950739635]"
23,1D,0.4212748536843256,1000,0.2304115407804843,"[0.40699379843044564, 0.43555590893820556]"
24,0D,0.6291946769313977,1000,0.3842683762379195,"[0.6053774762183453, 0.6530118776444502]"
24,1D,0.3948843985034848,1000,0.22363170146143005,"[0.38102356204420107, 0.4087452349627685]"
25,0D,0.5858894731026838,1000,0.36095340207512067,"[0.5635173494597028, 0.6082615967456648]"
25,1D,0.3693705887108749,1000,0.21449725353567842,"[0.3560759111996173, 0.38266526622213254]"
26,0D,0.5428482753509738,1000,0.3316846651776936,"[0.5222902468155015, 0.5634063038864461]"
26,1D,0.34420075351415313,1000,0.2037207971093647,"[0.3315740076921846, 0.3568274993361217]"
27,0D,0.504384807964796,1000,0.30788969104364344,"[0.48530160720584026, 0.5234680087237518]"
27,1D,0.3217699996623173,1000,0.19362763684931494,"[0.3097688343944815, 0.3337711649301531]"
28,0D,0.4604950829591224,1000,0.271704127556907,"[0.44365468666124697, 0.4773354792569978]"
28,1D,0.29264146750443887,1000,0.1744080429254094,"[0.28183154500966334, 0.3034513899992144]"
29,0D,0.4206255306774418,1000,0.24749054300777903,"[0.40528590789841556, 0.435965153456468]"
29,1D,0.26724306674319653,1000,0.15949533269065694,"[0.2573574436048083, 0.2771286898815848]"
30,0D,0.38273380547712066,1000,0.22098391788528732,"[0.3690370803441322, 0.39643053061010913]"
30,1D,0.24235122395463718,1000,0.14292456723272637,"[0.23349266750007122, 0.25120978040920316]"
