extractNo,varType,mean,count,std,ci95
5,0D,-0.003083357033671051,1000,0.036868437155878946,"[-0.0053684864432648645, -0.0007982276240772377]"
5,1D,0.03513446151502783,1000,0.019946526713624266,"[0.033898162980868694, 0.03637076004918697]"
6,0D,-0.004444916924065781,1000,0.033107581704382896,"[-0.006496946097782781, -0.0023928877503487803]"
6,1D,0.03098235872987336,1000,0.018410096010834504,"[0.029841289157275668, 0.03212342830247105]"
7,0D,-0.007095469683649956,1000,0.030862368983551793,"[-0.00900833913119052, -0.005182600236109393]"
7,1D,0.02801004014988702,1000,0.01711334056044675,"[0.026949344312801996, 0.029070735986972043]"
8,0D,-0.005503225405964307,1000,0.02960940666429183,"[-0.00733843544438079, -0.0036680153675478235]"
8,1D,0.026220118976995756,1000,0.016829245090937542,"[0.02517703155953978, 0.02726320639445173]"
9,0D,-0.007290905488143643,1000,0.028385124720866337,"[-0.009050233745547065, -0.005531577230740222]"
9,1D,0.02381730336059811,1000,0.015686009463518016,"[0.02284507442144612, 0.024789532299750096]"
10,0D,-0.0071238321163168816,1000,0.02681454902775433,"[-0.008785815083732844, -0.005461849148900919]"
10,1D,0.021741860271666826,1000,0.014733813836549781,"[0.020828649028916565, 0.022655071514417088]"
11,0D,-0.0053482019379848715,1000,0.023429513521975823,"[-0.006800378231088351, -0.0038960256448813922]"
11,1D,0.02064516583163854,1000,0.0140486179158343,"[0.01977442347204545, 0.021515908191231628]"
12,0D,-0.004273833716162899,1000,0.02234162585400616,"[-0.005658582033030194, -0.0028890853992956053]"
12,1D,0.019348097341625504,1000,0.013345096796828996,"[0.018520959672746924, 0.020175235010504083]"
13,0D,-0.002561413789166024,1000,0.020499319860110894,"[-0.0038319747975146074, -0.0012908527808174403]"
13,1D,0.018429537321458463,1000,0.013253112910545576,"[0.017608100872918198, 0.01925097376999873]"
14,0D,-0.0026693241035779655,1000,0.020294944660647962,"[-0.003927217805826489, -0.001411430401329442]"
14,1D,0.01765067774974483,1000,0.01325421431540781,"[0.016829173035423948, 0.01847218246406571]"
15,0D,-0.001192473194707365,1000,0.019021839556654506,"[-0.0023714590250995533, -1.3487364315176512e-05]"
15,1D,0.01690414406926894,1000,0.012878876216537076,"[0.016105903051335413, 0.01770238508720247]"
16,0D,-0.0017695004547791135,1000,0.01722550253344817,"[-0.002837148162974374, -0.0007018527465838529]"
16,1D,0.014597725575029146,1000,0.011714315463356342,"[0.013871664780387986, 0.015323786369670307]"
17,0D,-0.0015296884415752592,1000,0.016931721253239645,"[-0.0025791273973746896, -0.0004802494857758287]"
17,1D,0.013681823391281796,1000,0.01203540957086281,"[0.012935860977670239, 0.014427785804893354]"
18,0D,-0.0009440573130672043,1000,0.01643509031486185,"[-0.0019627147643997357, 7.460013826532722e-05]"
18,1D,0.012294580015737522,1000,0.011191162719844187,"[0.011600944564076182, 0.012988215467398862]"
19,0D,-0.0008426411200257463,1000,0.014914795247353516,"[-0.0017670697068329004, 8.178746678140795e-05]"
19,1D,0.011521686375204412,1000,0.010057979830462924,"[0.01089828632668819, 0.012145086423720634]"
20,0D,-0.00047107983303777337,1000,0.01427611924125469,"[-0.0013559228708679588, 0.00041376320479241197]"
20,1D,0.011033795779893413,1000,0.009700543652482414,"[0.01043254985521224, 0.011635041704574585]"
21,0D,-0.00044715093766397083,1000,0.013502970291181651,"[-0.0012840737070993035, 0.0003897718317713618]"
21,1D,0.01007152450044796,1000,0.009187723821692704,"[0.0095020634781809, 0.01064098552271502]"
22,0D,-0.0008492484659093078,1000,0.012398536013845891,"[-0.001617717689634716, -8.077924218389957e-05]"
22,1D,0.008875075565143227,1000,0.008438059239721412,"[0.008352079235055838, 0.009398071895230616]"
23,0D,-0.001214841572784299,1000,0.012711801659677977,"[-0.0020027272023985625, -0.0004269559431700356]"
23,1D,0.008298500160763457,1000,0.008156456970333261,"[0.00779295772016063, 0.008804042601366283]"
24,0D,-0.001861765696190293,1000,0.011856502289489897,"[-0.00259663932161896, -0.0011268920707616257]"
24,1D,0.0075911811521465625,1000,0.007431465230959447,"[0.007130574165095813, 0.008051788139197312]"
25,0D,-0.002683247312999123,1000,0.011482946715494406,"[-0.0033949677240768346, -0.001971526901921411]"
25,1D,0.0066287456669912505,1000,0.006765729237544083,"[0.0062094014243076305, 0.007048089909674871]"
26,0D,-0.0032391341300477224,1000,0.010747579891153368,"[-0.003905276033144839, -0.002572992226950606]"
26,1D,0.006101336125616327,1000,0.006319367992430085,"[0.00570965763953097, 0.006493014611701684]"
27,0D,-0.0036757092298501225,1000,0.0098335567368087,"[-0.004285199390910767, -0.003066219068789478]"
27,1D,0.005424898965151654,1000,0.005906744655741417,"[0.005058795138435921, 0.005791002791867387]"
28,0D,-0.004606066753307783,1000,0.009666058462614915,"[-0.005205175263776673, -0.004006958242838894]"
28,1D,0.005113413781263983,1000,0.00598445035998498,"[0.0047424937051013475, 0.0054843338574266185]"
29,0D,-0.005563718508880706,1000,0.008628986948041643,"[-0.006098548660931968, -0.005028888356829445]"
29,1D,0.00396046339519154,1000,0.004655392795947474,"[0.0036719191602880433, 0.004249007630095037]"
30,0D,-0.006583474541796118,1000,0.007985105642712119,"[-0.007078396517081565, -0.006088552566510671]"
30,1D,0.0038019317369917564,1000,0.0047282493689101085,"[0.0035088718049119667, 0.004094991669071546]"
