extractNo,varType,mean,count,std,ci95
5,0D,0.11589447459671452,1000,0.08741204203795015,"[0.11047662010049486, 0.12131232909293418]"
5,1D,0.10632132815906063,1000,0.03444221688093581,"[0.10418657744007918, 0.10845607887804208]"
6,0D,0.10393983077758454,1000,0.07968992570723109,"[0.09900059801021723, 0.10887906354495185]"
6,1D,0.09889602147583137,1000,0.03112525215654194,"[0.09696685836042127, 0.10082518459124148]"
7,0D,0.09863523690509399,1000,0.07545455364323289,"[0.09395851521795213, 0.10331195859223584]"
7,1D,0.0911053714878893,1000,0.028890188754846745,"[0.08931473903733832, 0.09289600393844029]"
8,0D,0.09323152696905569,1000,0.07235992569993188,"[0.08874661230902187, 0.09771644162908952]"
8,1D,0.0857725086839774,1000,0.025884273147968043,"[0.08416818481295729, 0.08737683255499751]"
9,0D,0.08948482754047687,1000,0.0717356198216825,"[0.08503860775966827, 0.09393104732128547]"
9,1D,0.08062759197799148,1000,0.02503098875936029,"[0.07907615522130472, 0.08217902873467824]"
10,0D,0.0854659497620272,1000,0.06671901414064282,"[0.0813306624226891, 0.0896012371013653]"
10,1D,0.07854524630900367,1000,0.024868103409186593,"[0.07700390529091576, 0.08008658732709158]"
11,0D,0.0749786454958109,1000,0.05650355280630369,"[0.07147651900972433, 0.07848077198189747]"
11,1D,0.07256555379297731,1000,0.022471457401569153,"[0.07117275843342212, 0.07395834915253251]"
12,0D,0.06940260289268924,1000,0.05522009918685084,"[0.06598002568609238, 0.0728251800992861]"
12,1D,0.06801451005319115,1000,0.021802737463968786,"[0.06666316238477979, 0.0693658577216025]"
13,0D,0.06457625756754028,1000,0.04817740336256367,"[0.0615901911705245, 0.06756232396455605]"
13,1D,0.06580573912488556,1000,0.02145697801130074,"[0.0644758218493763, 0.06713565640039483]"
14,0D,0.06430320719937879,1000,0.047184358552617385,"[0.06137869035735658, 0.067227724041401]"
14,1D,0.0640027882706547,1000,0.020256991671386497,"[0.0627472469190517, 0.0652583296222577]"
15,0D,0.059946730261024615,1000,0.043789166393184656,"[0.057232649609230364, 0.06266081091281886]"
15,1D,0.061089132474024165,1000,0.019376470004472325,"[0.05988816642075408, 0.06229009852729425]"
16,0D,0.05443518622202943,1000,0.0397857394841889,"[0.05196924054081249, 0.056901131903246374]"
16,1D,0.058281882719752244,1000,0.017966949469263863,"[0.057168279654362913, 0.059395485785141575]"
17,0D,0.053673052553304956,1000,0.03875097633834679,"[0.051271242156329395, 0.05607486295028052]"
17,1D,0.056044652710946594,1000,0.018510242906150123,"[0.05489737596946898, 0.057191929452424205]"
18,0D,0.05204375334139556,1000,0.03738000542393119,"[0.04972691660204978, 0.054360590080741344]"
18,1D,0.05332819111393736,1000,0.018132202580187978,"[0.05220434555461743, 0.054452036673257286]"
19,0D,0.047395510456106404,1000,0.03366238789663101,"[0.045309094038331006, 0.0494819268738818]"
19,1D,0.049793989186315495,1000,0.01610670203418211,"[0.04879568545149052, 0.05079229292114047]"
20,0D,0.044930080165145665,1000,0.032704389797410686,"[0.04290304108472817, 0.04695711924556316]"
20,1D,0.04745774911566176,1000,0.015123788760614107,"[0.04652036697669976, 0.048395131254623754]"
21,0D,0.04237667889114731,1000,0.031081356274753648,"[0.04045023647067771, 0.04430312131161691]"
21,1D,0.04457328164406214,1000,0.014595992667139492,"[0.04366861264589232, 0.045477950642231965]"
22,0D,0.03865575718666126,1000,0.029013082071306318,"[0.03685750772944148, 0.040454006643881046]"
22,1D,0.04197014390558394,1000,0.013826397390650634,"[0.041113174916838274, 0.04282711289432961]"
23,0D,0.04017891629367387,1000,0.02918703077497018,"[0.0383698853841017, 0.04198794720324604]"
23,1D,0.04062490012362823,1000,0.013217636457850035,"[0.03980566252840686, 0.041444137718849604]"
24,0D,0.03706079393245977,1000,0.028372744132487058,"[0.03530223303187416, 0.03881935483304538]"
24,1D,0.038064432589986257,1000,0.01233643818323323,"[0.03729981222967768, 0.03882905295029483]"
25,0D,0.03757189187283229,1000,0.026276791129023418,"[0.035943239485295146, 0.03920054426036943]"
25,1D,0.03657493444902825,1000,0.010992297695195125,"[0.035893624779293705, 0.03725624411876279]"
26,0D,0.03509733830727726,1000,0.025962047526387623,"[0.03348819393034072, 0.036706482684213795]"
26,1D,0.03426237797077778,1000,0.010825876769167731,"[0.033591383176903834, 0.03493337276465173]"
27,0D,0.03349045785846019,1000,0.02334385317597086,"[0.03204359084860797, 0.034937324868312414]"
27,1D,0.031990359146786766,1000,0.009577850918385977,"[0.03139671779655072, 0.032584000497022814]"
28,0D,0.03363371689727275,1000,0.024558096333170108,"[0.03211159031682407, 0.03515584347772143]"
28,1D,0.03152345554857725,1000,0.009145385606154967,"[0.030956618676096254, 0.03209029242105825]"
29,0D,0.033360152527477205,1000,0.02199556600682904,"[0.03199685322215658, 0.03472345183279783]"
29,1D,0.029225703957988416,1000,0.007744558638013065,"[0.028745691240518904, 0.02970571667545793]"
30,0D,0.03324299095338668,1000,0.022716053464989974,"[0.03183503537275593, 0.034650946534017436]"
30,1D,0.02909665866753365,1000,0.007881144225045508,"[0.028608180287672893, 0.02958513704739441]"
