extractNo,varType,mean,count,std,ci95
5,1D,0.2585383827333339,1000,0.07808548543339029,"[0.2536985942044134, 0.26337817126225443]"
6,1D,0.23004907390900292,1000,0.07021665981501345,"[0.22569700024479158, 0.23440114757321426]"
7,1D,0.21964282696405268,1000,0.06911481413560083,"[0.21535904640258977, 0.2239266075255156]"
8,1D,0.20449968944546926,1000,0.06265400167874478,"[0.20061635418882387, 0.20838302470211464]"
9,1D,0.1922392615907299,1000,0.05871481915727921,"[0.18860007939626885, 0.19587844378519095]"
10,1D,0.1813793820182633,1000,0.058231569428837185,"[0.17777015195228474, 0.1849886120842419]"
11,1D,0.17415247586523147,1000,0.05592488823514828,"[0.17068621538084838, 0.17761873634961456]"
12,1D,0.1634365220699323,1000,0.0515160673971018,"[0.16024352313216847, 0.16662952100769615]"
13,1D,0.15754257913076827,1000,0.050151192681160355,"[0.15443417600433818, 0.16065098225719837]"
14,1D,0.1487561373168123,1000,0.04745959767238826,"[0.14581456097740483, 0.15169771365621978]"
15,1D,0.1429784350886985,1000,0.046549405532413886,"[0.1400932730425968, 0.1458635971348002]"
16,1D,0.13405695456939262,1000,0.04385621857628807,"[0.13133871798023278, 0.13677519115855247]"
17,1D,0.12707987319374756,1000,0.04180661362326794,"[0.1244886724357078, 0.1296710739517873]"
18,1D,0.1202978433400226,1000,0.03923840878656546,"[0.1178658215669069, 0.12272986511313828]"
19,1D,0.11381986666446504,1000,0.03906112705181611,"[0.11139883292710868, 0.1162409004018214]"
20,1D,0.10943393012779769,1000,0.038411864598645915,"[0.10705313809420576, 0.11181472216138962]"
21,1D,0.10323122434819654,1000,0.03497648845544123,"[0.10106335913395047, 0.10539908956244261]"
22,1D,0.09569630066372539,1000,0.033278493818158734,"[0.09363367824744719, 0.0977589230800036]"
23,1D,0.09079817918804999,1000,0.03151674421911336,"[0.08884475114320926, 0.0927516072328907]"
24,1D,0.08558711987924696,1000,0.02998300977933571,"[0.08372875367985481, 0.0874454860786391]"
25,1D,0.07943976228905916,1000,0.028452033751177976,"[0.07767628696699211, 0.08120323761112622]"
26,1D,0.07582471405458979,1000,0.026643192655300487,"[0.07417335186517318, 0.0774760762440064]"
27,1D,0.07319859136498814,1000,0.024747334330546142,"[0.07166473569194494, 0.07473244703803135]"
28,1D,0.06915764750789886,1000,0.02264444142253023,"[0.06775413048764467, 0.07056116452815306]"
29,1D,0.06441619400214864,1000,0.020977905870705464,"[0.06311596992554452, 0.06571641807875275]"
30,1D,0.06018155566378136,1000,0.019205642769519353,"[0.05899117759222854, 0.06137193373533418]"
