extractNo,varType,mean,count,std,ci95
5,0D,-0.0006155050569284146,1000,0.023618228879505744,"[-0.0020793780490731464, 0.000848367935216317]"
5,1D,0.04428516191627023,1000,0.025060287777057412,"[0.04273190918765255, 0.04583841464488791]"
6,0D,-0.00013774855441342487,1000,0.0223693037682212,"[-0.0015242123661768432, 0.0012487152573499934]"
6,1D,0.03974451258935452,1000,0.023334266756312956,"[0.038298239751948515, 0.04119078542676052]"
7,0D,-0.0007949692946294414,1000,0.0213100349378876,"[-0.0021157789440906377, 0.0005258403548317551]"
7,1D,0.0364055503499005,1000,0.021351221160986807,"[0.03508218795188432, 0.037728912747916676]"
8,0D,-0.0010655520534091864,1000,0.019812831073612088,"[-0.0022935640459491448, 0.00016245993913077206]"
8,1D,0.03555131627501253,1000,0.021022739013500186,"[0.03424831341142887, 0.036854319138596194]"
9,0D,-0.0011955419288226573,1000,0.018413045756825983,"[-0.0023367943285710494, -5.428952907426542e-05]"
9,1D,0.03252337319943933,1000,0.01866033941753569,"[0.03136679337980317, 0.03367995301907548]"
10,0D,-0.0005142812581905565,1000,0.017401271864950774,"[-0.0015928232624207441, 0.0005642607460396311]"
10,1D,0.03211464472536545,1000,0.019387725992290453,"[0.03091298101874249, 0.03331630843198842]"
11,0D,-0.001714441090997753,1000,0.017079999715245764,"[-0.002773070441087751, -0.0006558117409077554]"
11,1D,0.02934838730218056,1000,0.017414701722259625,"[0.02826901290677053, 0.030427761697590587]"
12,0D,-0.0017656910572575258,1000,0.016532887978778815,"[-0.002790410070599354, -0.0007409720439156974]"
12,1D,0.02729368578312419,1000,0.015725668239249483,"[0.026318998767585908, 0.02826837279866247]"
13,0D,-0.0031284275551100326,1000,0.015053714433993816,"[-0.004061466442310622, -0.0021953886679094434]"
13,1D,0.025092510858707714,1000,0.015854229826289402,"[0.02410985551345025, 0.02607516620396518]"
14,0D,-0.0032309430655160774,1000,0.014482458748294066,"[-0.00412857515849127, -0.002333310972540885]"
14,1D,0.023917391505612742,1000,0.014225993283203153,"[0.02303565530685044, 0.024799127704375045]"
15,0D,-0.003528994929397309,1000,0.013416920724248592,"[-0.004360584291418322, -0.002697405567376296]"
15,1D,0.022612681619543457,1000,0.014015003990716967,"[0.021744022672613963, 0.02348134056647295]"
16,0D,-0.0040960875685947746,1000,0.012539924010492368,"[-0.00487332011114312, -0.0033188550260464284]"
16,1D,0.020621416450914212,1000,0.012610696575918456,"[0.019839797379314912, 0.021403035522513512]"
17,0D,-0.003889860821138671,1000,0.011977520212429047,"[-0.004632235215141471, -0.003147486427135871]"
17,1D,0.018473393761054648,1000,0.011470781262640664,"[0.017762427372556726, 0.01918436014955257]"
18,0D,-0.003977394177291303,1000,0.010877147392862059,"[-0.004651566757344709, -0.003303221597237897]"
18,1D,0.017151501642520106,1000,0.011318020190897638,"[0.016450003483342704, 0.01785299980169751]"
19,0D,-0.004081337286850523,1000,0.010463325311157932,"[-0.004729860908548485, -0.0034328136651525613]"
19,1D,0.015135180086166114,1000,0.009856391623654539,"[0.014524274604155585, 0.01574608556817664]"
20,0D,-0.004192392132588082,1000,0.009752676467415705,"[-0.004796869282615349, -0.003587914982560814]"
20,1D,0.014039907415030034,1000,0.00926751555830026,"[0.013465500849690629, 0.014614313980369439]"
21,0D,-0.004052200358063591,1000,0.008835744032188122,"[-0.004599845446957101, -0.003504555269170081]"
21,1D,0.013598413879323985,1000,0.008776325746004173,"[0.013054451573962973, 0.014142376184684998]"
22,0D,-0.004116971759572232,1000,0.008087173892649027,"[-0.004618219990530803, -0.003615723528613661]"
22,1D,0.012724498422762132,1000,0.00784604205165479,"[0.012238195698148616, 0.013210801147375648]"
23,0D,-0.004183407534396058,1000,0.007549322567765723,"[-0.004651319394862888, -0.0037154956739292276]"
23,1D,0.011989660145977792,1000,0.0074737930025789556,"[0.011526429656461739, 0.012452890635493844]"
24,0D,-0.004395548519207914,1000,0.007226848903711989,"[-0.004843473254903681, -0.003947623783512147]"
24,1D,0.011537181476341942,1000,0.007262961885341707,"[0.011087018434855201, 0.011987344517828683]"
25,0D,-0.004344854416315369,1000,0.006661230257524699,"[-0.004757721745114486, -0.003931987087516252]"
25,1D,0.01111926416882319,1000,0.007197965079419675,"[0.0106731296711045, 0.01156539866654188]"
26,0D,-0.004393199861094125,1000,0.006432913575474361,"[-0.004791915975328648, -0.003994483746859603]"
26,1D,0.01046549336129254,1000,0.006974755656986614,"[0.010033193526907793, 0.010897793195677288]"
27,0D,-0.004227002764015898,1000,0.0062990632954573475,"[-0.004617422751944441, -0.003836582776087355]"
27,1D,0.009581709928739097,1000,0.006592979156726279,"[0.00917307284699418, 0.009990347010484013]"
28,0D,-0.004022314875979981,1000,0.005856489632391536,"[-0.004385303864077763, -0.0036593258878821994]"
28,1D,0.009414304959544139,1000,0.00637812693685528,"[0.00901898455635188, 0.009809625362736397]"
29,0D,-0.003506075732067134,1000,0.005632887608887862,"[-0.003855205723164511, -0.003156945740969757]"
29,1D,0.008752059687829352,1000,0.005978676148590652,"[0.008381497500996786, 0.009122621874661918]"
30,0D,-0.0025911509941933214,1000,0.005014918261440852,"[-0.0029019788483135283, -0.0022803231400731145]"
30,1D,0.008035559782516145,1000,0.0055891549009956685,"[0.007689140372736416, 0.008381979192295873]"
