extractNo,varType,mean,count,std,ci95
5,0D,0.1717075687269857,1000,0.12766795119960422,"[0.16379462713102538, 0.17962051032294601]"
5,1D,0.17278664567519428,1000,0.06583941081128457,"[0.16870587671503767, 0.17686741463535088]"
6,0D,0.16141341588731015,1000,0.12195500623186653,"[0.1538545662889567, 0.1689722654856636]"
6,1D,0.16164725755924986,1000,0.06415058825056685,"[0.15767116290586589, 0.16562335221263383]"
7,0D,0.15318655608682882,1000,0.11743229268950928,"[0.1459080271780428, 0.16046508499561485]"
7,1D,0.14874381472833573,1000,0.05973424703401796,"[0.1450414477394597, 0.15244618171721175]"
8,0D,0.14448952383494695,1000,0.10633034958785283,"[0.13789910048859555, 0.15107994718129836]"
8,1D,0.14300622807087918,1000,0.05513300655987215,"[0.13958904892122806, 0.1464234072205303]"
9,0D,0.13321000818792553,1000,0.10023575732923094,"[0.12699733158334073, 0.13942268479251033]"
9,1D,0.13437134530052097,1000,0.050226255347380636,"[0.13125828974183787, 0.13748440085920408]"
10,0D,0.12422073317094376,1000,0.0964607435294388,"[0.1182420343457548, 0.13019943199613274]"
10,1D,0.12969156669361637,1000,0.049610076289662186,"[0.12661670230860342, 0.13276643107862932]"
11,0D,0.12642292728495036,1000,0.08983417728478266,"[0.12085494729078379, 0.13199090727911691]"
11,1D,0.12327042383805616,1000,0.04410970906398654,"[0.12053647574569255, 0.12600437193041975]"
12,0D,0.1205683832707557,1000,0.08938064077853508,"[0.11502851376047997, 0.12610825278103144]"
12,1D,0.11477178909826044,1000,0.04259192974492926,"[0.11213191394271776, 0.11741166425380312]"
13,0D,0.11189912424412002,1000,0.0821847274060853,"[0.1068052620654475, 0.11699298642279253]"
13,1D,0.1096190873372081,1000,0.04029278204020505,"[0.10712171483277733, 0.11211645984163887]"
14,0D,0.10686539168371846,1000,0.08066177278330841,"[0.10186592321051467, 0.11186486015692225]"
14,1D,0.1048084329997901,1000,0.03915543067618905,"[0.10238155426323906, 0.10723531173634115]"
15,0D,0.10065868058184003,1000,0.07440018275543628,"[0.0960473094793768, 0.10527005168430327]"
15,1D,0.10135492800165549,1000,0.037301014056354345,"[0.09904298719799559, 0.10366686880531539]"
16,0D,0.09422665588899871,1000,0.07254547622072284,"[0.08973024068853698, 0.09872307108946045]"
16,1D,0.09534579877775562,1000,0.0346913882166131,"[0.09319560425938618, 0.09749599329612506]"
17,0D,0.09151948136195286,1000,0.06704301835801478,"[0.08736411203316621, 0.0956748506907395]"
17,1D,0.08892662691816841,1000,0.03262946801086537,"[0.08690423153819123, 0.0909490222981456]"
18,0D,0.08399395148891758,1000,0.061818893252615095,"[0.08016237678877965, 0.08782552618905552]"
18,1D,0.08386786624217187,1000,0.030252764194973504,"[0.08199278049087858, 0.08574295199346516]"
19,0D,0.08102244907757786,1000,0.060485434403045546,"[0.07727352301320257, 0.08477137514195314]"
19,1D,0.0792312665531338,1000,0.03057816381796412,"[0.07733601232425566, 0.08112652078201193]"
20,0D,0.07740318760955073,1000,0.05602723483314883,"[0.07393058361730279, 0.08087579160179867]"
20,1D,0.07548940261657168,1000,0.027534724793136112,"[0.0737827826927642, 0.07719602254037916]"
21,0D,0.06967868632274436,1000,0.05282689541154753,"[0.06640444142291099, 0.07295293122257773]"
21,1D,0.07038762927711822,1000,0.027040926868239758,"[0.06871161526578287, 0.07206364328845358]"
22,0D,0.06551428759034442,1000,0.048722719008324436,"[0.06249442217943578, 0.06853415300125305]"
22,1D,0.06803871539094263,1000,0.02540075470185182,"[0.066464360303699, 0.06961307047818625]"
23,0D,0.06308969381032292,1000,0.045281900014727684,"[0.060283092570122515, 0.06589629505052333]"
23,1D,0.06431749017054209,1000,0.02375812916730493,"[0.06284494606872408, 0.06579003427236009]"
24,0D,0.061346102246347685,1000,0.04504495208634995,"[0.058554187190901705, 0.06413801730179367]"
24,1D,0.06272080004775557,1000,0.0232708256052455,"[0.06127845933363078, 0.06416314076188036]"
25,0D,0.05750817759903093,1000,0.04265533697319404,"[0.054864372422764124, 0.060151982775297735]"
25,1D,0.05866783775070598,1000,0.021552329196915552,"[0.05733201054748356, 0.06000366495392839]"
26,0D,0.056598841694186316,1000,0.041382781285388054,"[0.054033910336607746, 0.05916377305176489]"
26,1D,0.055872053283677774,1000,0.020093952159172035,"[0.05462661722573591, 0.057117489341619636]"
27,0D,0.05537107967307595,1000,0.03997281665963343,"[0.052893538828395356, 0.05784862051775655]"
27,1D,0.053262396831166785,1000,0.019029611389989296,"[0.052082929297553905, 0.054441864364779664]"
28,0D,0.051371659282313006,1000,0.03812713371594084,"[0.049008515051668027, 0.053734803512957986]"
28,1D,0.050538478556363835,1000,0.017933172476739694,"[0.04942696901066068, 0.05164998810206699]"
29,0D,0.04869763557812088,1000,0.03460036780828361,"[0.04655308256310749, 0.050842188593134274]"
29,1D,0.04672879769338213,1000,0.016571490390012312,"[0.04570168607780393, 0.047755909308960336]"
30,0D,0.041399540610379475,1000,0.029489023827759173,"[0.03957179197747383, 0.043227289243285116]"
30,1D,0.04184360154522892,1000,0.01530635511382559,"[0.04089490382646185, 0.04279229926399599]"
