extractNo,varType,mean,count,std,ci95
5,1D,1.4902328860689604,1000,0.33324785243012595,"[1.4695779701837985, 1.5108878019541223]"
6,1D,1.4695493593376605,1000,0.3223311805966475,"[1.4495710657827616, 1.4895276528925594]"
7,1D,1.4385679491998669,1000,0.31166496082100625,"[1.419250754795861, 1.4578851436038727]"
8,1D,1.4019497814270776,1000,0.3213177172830163,"[1.3820343029791422, 1.421865259875013]"
9,1D,1.380531173174497,1000,0.32728560054271333,"[1.360245801489913, 1.4008165448590808]"
10,1D,1.343699779586539,1000,0.3493160676823698,"[1.3220489454020106, 1.3653506137710676]"
11,1D,1.2850687200787896,1000,0.36440184276531257,"[1.2624828598674511, 1.307654580290128]"
12,1D,1.2658994793141707,1000,0.3733652276898421,"[1.2427580627494683, 1.289040895878873]"
13,1D,1.1944773391048256,1000,0.3806552364124559,"[1.1708840831182945, 1.2180705950913566]"
14,1D,1.1651325717571759,1000,0.3903934753906094,"[1.1409357334654728, 1.189329410048879]"
15,1D,1.1272946024402513,1000,0.3959177392674745,"[1.1027553667261132, 1.1518338381543893]"
16,1D,1.0946252019917664,1000,0.39749370419948465,"[1.0699882869591533, 1.1192621170243795]"
17,1D,1.0491089987727216,1000,0.39585745343217876,"[1.024573499613367, 1.073644497932076]"
18,1D,0.9989311633959356,1000,0.3873335433381246,"[0.9749239816577482, 1.022938345134123]"
19,1D,0.9495000799800016,1000,0.36820340869859736,"[0.9266785962709834, 0.9723215636890199]"
20,1D,0.8998876916149283,1000,0.3512292751592559,"[0.8781182756024367, 0.9216571076274199]"
21,1D,0.8564888013672545,1000,0.33595914768552565,"[0.8356658376611336, 0.8773117650733754]"
22,1D,0.8183827518411253,1000,0.32684916570676575,"[0.7981244306679254, 0.8386410730143252]"
23,1D,0.7820256269996936,1000,0.31739753657619096,"[0.7623531238692692, 0.8016981301301179]"
24,1D,0.7472918148223953,1000,0.3083602055886889,"[0.7281794512698017, 0.7664041783749889]"
25,1D,0.7125612869004135,1000,0.3015173401123099,"[0.6938730485441188, 0.7312495252567083]"
26,1D,0.6688390923840474,1000,0.28742039689851956,"[0.6510245916203445, 0.6866535931477502]"
27,1D,0.6324386472224736,1000,0.26969490560672904,"[0.6157227837912705, 0.6491545106536766]"
28,1D,0.5859563337901844,1000,0.23910774462640255,"[0.5711362822377601, 0.6007763853426087]"
29,1D,0.5469173653322121,1000,0.21275339377154495,"[0.5337307733689364, 0.5601039572954879]"
30,1D,0.5047990692667054,1000,0.18783923169486744,"[0.4931566730673047, 0.516441465466106]"
