extractNo,varType,mean,count,std,ci95
5,0D,0.0736871078140333,1000,0.05594512443404863,"[0.0702195930770479, 0.0771546225510187]"
5,1D,0.17817121075637005,1000,0.06347996268151489,"[0.17423668190639094, 0.18210573960634915]"
6,0D,0.07126546342702378,1000,0.053535040419883766,"[0.06794732724484599, 0.07458359960920156]"
6,1D,0.16333287187152498,1000,0.05872896446908851,"[0.15969281294155474, 0.16697293080149522]"
7,0D,0.06468249420661894,1000,0.04750416318193783,"[0.061738155668312325, 0.06762683274492555]"
7,1D,0.15023657887690253,1000,0.05246252714721873,"[0.14698491775606745, 0.1534882399977376]"
8,0D,0.06407917067713141,1000,0.04815155528555065,"[0.06109470636052697, 0.06706363499373585]"
8,1D,0.1434534946264372,1000,0.05034272913596205,"[0.1403332199475454, 0.14657376930532898]"
9,0D,0.06000813823367902,1000,0.044713461929497864,"[0.057236769151017594, 0.06277950731634045]"
9,1D,0.13871935654075196,1000,0.04821658394329955,"[0.1357308617061828, 0.14170785137532113]"
10,0D,0.056695512435268776,1000,0.04113052357579053,"[0.05414621617251565, 0.0592448086980219]"
10,1D,0.13213479310125556,1000,0.04362161186411658,"[0.1294310975867663, 0.13483848861574482]"
11,0D,0.05522861257800865,1000,0.04086353342673407,"[0.05269586453613891, 0.05776136061987839]"
11,1D,0.12990935354305894,1000,0.04657131683002001,"[0.1270228334206615, 0.13279587366545637]"
12,0D,0.0543274898482954,1000,0.039506465953955315,"[0.05187885371981485, 0.05677612597677595]"
12,1D,0.13059540948172058,1000,0.0468824977202788,"[0.1276896021679234, 0.13350121679551774]"
13,0D,0.052119647209038035,1000,0.0377024317669909,"[0.04978282627790678, 0.05445646814016929]"
13,1D,0.1278823205857242,1000,0.04347819167645547,"[0.12518751434656192, 0.1305771268248865]"
14,0D,0.051570525962944744,1000,0.03647421657292417,"[0.049309830598226995, 0.05383122132766249]"
14,1D,0.12387828794633907,1000,0.044492055082863566,"[0.12112064180220607, 0.12663593409047208]"
15,0D,0.04804532374412364,1000,0.035162015401712016,"[0.045865959450613565, 0.05022468803763371]"
15,1D,0.12507013062633462,1000,0.04167771290744231,"[0.12248691921743395, 0.1276533420352353]"
