extractNo,varType,mean,count,std,ci95
5,0D,0.0003301180033672585,1000,0.03980659337250898,"[-0.002137120215238861, 0.0027973562219733785]"
5,1D,0.06413021440298057,1000,0.03483076155095926,"[0.061971381435851264, 0.06628904737010988]"
6,0D,0.0011347924858026927,1000,0.03901379269740576,"[-0.001283307437872058, 0.0035528924094774435]"
6,1D,0.06141677810304513,1000,0.03484838870900526,"[0.05925685259334105, 0.06357670361274922]"
7,0D,-0.0005247759898223265,1000,0.037033071124778584,"[-0.0028201095185264808, 0.001770557538881828]"
7,1D,0.059947592204096206,1000,0.03264031329005586,"[0.05792452462675061, 0.061970659781441804]"
8,0D,-7.947527246531811e-06,1000,0.03416967428275493,"[-0.0021258058809824156, 0.0021099108264893518]"
8,1D,0.05808999060389563,1000,0.0313683750782728,"[0.05614575857367786, 0.0600342226341134]"
9,0D,0.0016229771713172337,1000,0.03344997935375041,"[-0.00045027402857455165, 0.003696228371209019]"
9,1D,0.057084568350858206,1000,0.02958862618835273,"[0.05525064629968439, 0.05891849040203202]"
10,0D,0.001513158748248366,1000,0.031041969988024852,"[-0.0004108424848783005, 0.0034371599813750324]"
10,1D,0.05612062986903671,1000,0.02967486538806073,"[0.05428136265688741, 0.057959897081186006]"
11,0D,0.0017714787791570147,1000,0.02910684843398125,"[-3.2582377432428594e-05, 0.0035755399357464577]"
11,1D,0.053224874956439044,1000,0.02769166093471983,"[0.05150852802980133, 0.054941221883076756]"
12,0D,0.0031852488586238716,1000,0.026424865203376592,"[0.0015474187448741399, 0.004823078972373603]"
12,1D,0.05418781328072804,1000,0.02707621875615586,"[0.052509611855517335, 0.055866014705938744]"
13,0D,0.001105743497253933,1000,0.025569910803038397,"[-0.0004790959937630169, 0.002690582988270883]"
13,1D,0.05186277656135841,1000,0.026528381078875174,"[0.050218530467173665, 0.053507022655543156]"
14,0D,0.0007706472641399073,1000,0.025674450419780392,"[-0.0008206716594517078, 0.0023619661877315222]"
14,1D,0.0519397831878388,1000,0.028015321946692647,"[0.05020337554384356, 0.053676190831834045]"
15,0D,-0.0001599410328052538,1000,0.02477375261434185,"[-0.0016954341280423298, 0.0013755520624318222]"
15,1D,0.05124643977935774,1000,0.027812744035398705,"[0.049522588044387736, 0.05297029151432775]"
