extractNo,varType,mean,count,std,ci95
5,1D,0.4469630355476745,1000,0.15804504692423044,"[0.43716730205237486, 0.4567587690429742]"
6,1D,0.41883776029278397,1000,0.14957802279181812,"[0.4095668183902202, 0.42810870219534775]"
7,1D,0.4074362626230541,1000,0.14054327063066457,"[0.39872530046100807, 0.41614722478510013]"
8,1D,0.3899920849674477,1000,0.13194622688800614,"[0.38181397309707127, 0.3981701968378241]"
9,1D,0.362300529822437,1000,0.12269932923510612,"[0.3546955466063837, 0.3699055130384903]"
10,1D,0.3567460819998049,1000,0.11667135642534388,"[0.34951471640929893, 0.36397744759031087]"
11,1D,0.3421404909809565,1000,0.10974249261773254,"[0.335338580818542, 0.348942401143371]"
12,1D,0.3390618676609642,1000,0.1085610942487517,"[0.3323331813280815, 0.3457905539938469]"
13,1D,0.3282612942109296,1000,0.10346660328831807,"[0.3218483676991474, 0.3346742207227118]"
14,1D,0.3274377136325889,1000,0.09784463413982036,"[0.32137324037871795, 0.33350218688645983]"
15,1D,0.32893363264931613,1000,0.09506489263025224,"[0.32304144955918945, 0.3348258157394428]"
