extractNo,varType,mean,count,std,ci95
5,0D,0.12159113230691854,1000,0.08789473024501455,"[0.11614336048567196, 0.12703890412816513]"
5,1D,0.11254146153673478,1000,0.038184024677713625,"[0.1101747911677472, 0.11490813190572235]"
6,0D,0.10514753607594998,1000,0.08171938619986661,"[0.10008251604405279, 0.11021255610784718]"
6,1D,0.10475770554208563,1000,0.03673148142169923,"[0.10248106473684093, 0.10703434634733033]"
7,0D,0.10223358719987459,1000,0.07222002243804886,"[0.09775734383384965, 0.10670983056589953]"
7,1D,0.09862058216010662,1000,0.034672360237355995,"[0.09647156700811016, 0.10076959731210308]"
8,0D,0.09433777813548229,1000,0.068961138594524,"[0.09006352248273641, 0.09861203378822817]"
8,1D,0.09542075970293522,1000,0.03423742125675094,"[0.09329870234824807, 0.09754281705762237]"
9,0D,0.08666993798220815,1000,0.06502110887684091,"[0.08263988790141219, 0.09069998806300411]"
9,1D,0.09268588885058067,1000,0.03346158562352013,"[0.09061191828663571, 0.09475985941452562]"
10,0D,0.08282516115908779,1000,0.05955130310976298,"[0.07913413315211258, 0.086516189166063]"
10,1D,0.08822972795611311,1000,0.03279909439865844,"[0.08619681902369673, 0.0902626368885295]"
11,0D,0.07415318720798376,1000,0.05531995620596995,"[0.07072442079921978, 0.07758195361674775]"
11,1D,0.08557049340685469,1000,0.030849651639111582,"[0.08365841218848884, 0.08748257462522054]"
12,0D,0.06986185375756654,1000,0.05202582148484954,"[0.06663725993411096, 0.07308644758102212]"
12,1D,0.081385292088422,1000,0.029277125786338863,"[0.07957067703219166, 0.08319990714465235]"
13,0D,0.06747820912679674,1000,0.04919288662764579,"[0.06442920242492946, 0.07052721582866402]"
13,1D,0.07905505676607658,1000,0.026641671523054727,"[0.07740378885741334, 0.08070632467473982]"
14,0D,0.06073154647182961,1000,0.04579878823879442,"[0.0578929081675873, 0.06357018477607192]"
14,1D,0.07625959013794356,1000,0.026763759010438263,"[0.07460075516841512, 0.077918425107472]"
15,0D,0.06091901848259188,1000,0.040584353871616824,"[0.05840357416882048, 0.06343446279636329]"
15,1D,0.07594552709898157,1000,0.02630552829743658,"[0.07431509356329292, 0.07757596063467022]"
