extractNo,varType,mean,count,std,ci95
5,1D,0.25988753170416673,1000,0.07693903766510511,"[0.2551188007441037, 0.26465626266422976]"
6,1D,0.2397694316983747,1000,0.07506470182351446,"[0.23511687327735817, 0.24442199011939122]"
7,1D,0.2268284073931012,1000,0.06846102678588803,"[0.22258514899139603, 0.23107166579480637]"
8,1D,0.21626786079502197,1000,0.06764617856661809,"[0.2120751072091932, 0.22046061438085074]"
9,1D,0.20968466357405793,1000,0.06592989133886175,"[0.205598286572701, 0.21377104057541488]"
10,1D,0.19987760366095492,1000,0.06299830116915103,"[0.19597292850080592, 0.20378227882110392]"
11,1D,0.19435248739626418,1000,0.060327322027192876,"[0.19061336123847442, 0.19809161355405394]"
12,1D,0.18606830735228125,1000,0.05684433945379492,"[0.18254505869095067, 0.18959155601361183]"
13,1D,0.1803159221612306,1000,0.05232380320921873,"[0.17707285923915284, 0.18355898508330837]"
14,1D,0.17438774738998,1000,0.05145422290046784,"[0.1711985816138303, 0.1775769131661297]"
15,1D,0.17190890646535106,1000,0.04920305181550689,"[0.16885926971861268, 0.17495854321208945]"
