extractNo,varType,mean,count,std,ci95
5,0D,-2.2138796538255446e-05,1000,0.041902933893828445,"[-0.002619309546798391, 0.00257503195372188]"
5,1D,0.05639475721017837,1000,0.031371557729082324,"[0.054450327917219724, 0.05833918650313702]"
6,0D,0.001164136533959019,1000,0.03978946453474343,"[-0.0013020400282832915, 0.0036303130962013295]"
6,1D,0.05317656424604474,1000,0.027808944992382543,"[0.051452947978200395, 0.05490018051388909]"
7,0D,0.0001583359373059382,1000,0.037896418635204085,"[-0.002190508424483755, 0.002507180299095631]"
7,1D,0.048677941521728794,1000,0.027034125845044932,"[0.04700234904217826, 0.05035353400127933]"
8,0D,-0.0008352964276449728,1000,0.036458961189796524,"[-0.0030950462539203875, 0.0014244533986304416]"
8,1D,0.047576046497205086,1000,0.024676535437377675,"[0.04604657898502322, 0.04910551400938695]"
9,0D,-0.002207857905949958,1000,0.03332322483828668,"[-0.004273252779579246, -0.00014246303232067024]"
9,1D,0.04404148766483229,1000,0.023973405312370008,"[0.04255560060930588, 0.0455273747203587]"
10,0D,-0.002678289811761196,1000,0.031974061221372654,"[-0.004660062658063171, -0.0006965169654592203]"
10,1D,0.04225962733578334,1000,0.022225683868991427,"[0.04088206517759817, 0.04363718949396851]"
11,0D,-0.0034033183753809436,1000,0.030397218602593555,"[-0.005287357503618375, -0.0015192792471435124]"
11,1D,0.04230258782661603,1000,0.022393767210674244,"[0.04091460775498043, 0.043690567898251625]"
12,0D,-0.0044764470825773015,1000,0.028354502528684707,"[-0.006233877356845592, -0.002719016808309011]"
12,1D,0.04067512122551741,1000,0.021940614187971844,"[0.03931522786921628, 0.04203501458181855]"
13,0D,-0.004785051584709919,1000,0.026664595564679764,"[-0.006437740340193508, -0.0031323628292263296]"
13,1D,0.03939462358016587,1000,0.020916549876242176,"[0.03809820238749768, 0.04069104477283406]"
14,0D,-0.005294247503974971,1000,0.02675831680308508,"[-0.006952745161997012, -0.0036357498459529307]"
14,1D,0.039618688569674605,1000,0.020870346634957293,"[0.03832513108357017, 0.04091224605577904]"
15,0D,-0.0038000176539267987,1000,0.02410526970497592,"[-0.005294077749182226, -0.002305957558671371]"
15,1D,0.038988839579606624,1000,0.021116928186852055,"[0.03767999881057604, 0.040297680348637205]"
