extractNo,varType,mean,count,std,ci95
5,0D,0.19712620230570854,1000,0.14039917662115364,"[0.18842417118290042, 0.20582823342851667]"
5,1D,0.1697513786076416,1000,0.06486014110970038,"[0.16573130541241676, 0.17377145180286646]"
6,0D,0.18604537530179763,1000,0.13790593309639926,"[0.17749787701366343, 0.19459287358993183]"
6,1D,0.15864656456665632,1000,0.06097805829065522,"[0.15486710535739384, 0.1624260237759188]"
7,0D,0.1796960664866634,1000,0.12915835072677675,"[0.1716907489709648, 0.18770138400236197]"
7,1D,0.15676048733821876,1000,0.06066658673813776,"[0.15300033333578944, 0.16052064134064808]"
8,0D,0.17827017070832166,1000,0.12978033768521116,"[0.17022630204153705, 0.18631403937510627]"
8,1D,0.14921398285439438,1000,0.057673572408174736,"[0.14563933780206828, 0.1527886279067205]"
9,0D,0.16920400986835915,1000,0.12203714322604747,"[0.16164006936636297, 0.17676795037035534]"
9,1D,0.14646312869850245,1000,0.05516515771489998,"[0.14304395679961718, 0.14988230059738772]"
10,0D,0.16090686383404057,1000,0.11828820587560915,"[0.15357528487636457, 0.16823844279171657]"
10,1D,0.13809808296672074,1000,0.05136820015742994,"[0.13491424893542314, 0.14128191699801834]"
11,0D,0.15935796090784385,1000,0.11903564621296227,"[0.1519800551180979, 0.1667358666975898]"
11,1D,0.13476937043163803,1000,0.05079863224655261,"[0.13162083858519855, 0.13791790227807751]"
12,0D,0.1487210018562739,1000,0.11194737143333831,"[0.14178243188902884, 0.15565957182351897]"
12,1D,0.12938474760009652,1000,0.04772194117714202,"[0.12642691104180334, 0.1323425841583897]"
13,0D,0.13960252926058053,1000,0.0994500508857307,"[0.13343855124589685, 0.14576650727526422]"
13,1D,0.1229248181771267,1000,0.04669145975202345,"[0.12003085151927499, 0.1258187848349784]"
14,0D,0.13732439541685526,1000,0.09966501921257728,"[0.13114709352723403, 0.1435016973064765]"
14,1D,0.12309877030590707,1000,0.045361823150693696,"[0.1202872153784177, 0.12591032523339643]"
15,0D,0.12906142160396977,1000,0.09442013827011986,"[0.12320920080310623, 0.1349136424048333]"
15,1D,0.11978402216796134,1000,0.043203989850410796,"[0.11710621113405308, 0.12246183320186961]"
