extractNo,varType,mean,count,std,ci95
5,1D,0.41300921989907274,1000,0.15002106318778707,"[0.40371081806827314, 0.42230762172987235]"
6,1D,0.38043567775549264,1000,0.13994530556593435,"[0.37176177785213543, 0.38910957765884985]"
7,1D,0.3728616714720995,1000,0.1368124413102498,"[0.36438194850704486, 0.3813413944371541]"
8,1D,0.3581319077044551,1000,0.13143875904212018,"[0.3499852490170317, 0.36627856639187845]"
9,1D,0.3484270079779662,1000,0.12427514784595406,"[0.34072435451251754, 0.3561296614434149]"
10,1D,0.33289820777050294,1000,0.11706727760526309,"[0.325642302731029, 0.34015411280997687]"
11,1D,0.322676608506428,1000,0.11456980622671122,"[0.3155754983467212, 0.32977771866613476]"
12,1D,0.307982817464582,1000,0.10683289775794454,"[0.3013612458599424, 0.3146043890692216]"
13,1D,0.29542285915137956,1000,0.10570692915553122,"[0.2888710758037462, 0.3019746424990129]"
14,1D,0.2908928256456598,1000,0.09750412204469378,"[0.284849457550101, 0.29693619374121866]"
15,1D,0.283971591917979,1000,0.09139632100989334,"[0.2783067892526162, 0.2896363945833418]"
