extractNo,varType,mean,count,std,ci95
5,0D,-0.005126678912713225,1000,0.1790478242362288,"[-0.01622417803251925, 0.0059708202070927995]"
5,1D,0.0701080224386362,1000,0.12757960829746237,"[0.06220055639247909, 0.07801548848479331]"
6,0D,-0.001452187580963822,1000,0.179477941065751,"[-0.012576345618058551, 0.009671970456130906]"
6,1D,0.07127172539841108,1000,0.12817387493858737,"[0.06332742632423508, 0.07921602447258708]"
7,0D,-0.0021094404188841246,1000,0.18286311510792166,"[-0.013443413716865884, 0.009224532879097636]"
7,1D,0.06999861052826326,1000,0.1299380588013391,"[0.06194496620542211, 0.07805225485110441]"
8,0D,0.0030020400882143877,1000,0.18517755003813735,"[-0.008475383372931765, 0.014479463549360541]"
8,1D,0.07247135043689608,1000,0.13185002021819847,"[0.06429920151769242, 0.08064349935609974]"
9,0D,0.0008970140692660698,1000,0.18786489831583933,"[-0.010746972963783994, 0.012541001102316134]"
9,1D,0.07049148412677868,1000,0.13335670106651043,"[0.06222595016109766, 0.0787570180924597]"
10,0D,-0.012855346417463274,1000,0.19033496272410644,"[-0.024652429628663167, -0.0010582632062633834]"
10,1D,0.06054157889732429,1000,0.13253175565372072,"[0.05232717557805785, 0.06875598221659074]"
11,0D,-0.002354686354490353,1000,0.19253089847404983,"[-0.014287875073568383, 0.009578502364587675]"
11,1D,0.06863808886437513,1000,0.13379905403709066,"[0.06034513757752531, 0.07693104015122494]"
12,0D,0.0026759728897279038,1000,0.1922469869552166,"[-0.009239618811102097, 0.014591564590557906]"
12,1D,0.07214180827669445,1000,0.13207787013984326,"[0.06395553707303585, 0.08032807948035305]"
13,0D,-0.018311112030730707,1000,0.1960545143051291,"[-0.030462696721671234, -0.00615952733979018]"
13,1D,0.05806461454988548,1000,0.13231844736312026,"[0.049863432215444085, 0.06626579688432686]"
14,0D,-0.006451611463935387,1000,0.1948781103088894,"[-0.01853028187977374, 0.005627058951902964]"
14,1D,0.06504597119800413,1000,0.13231357401221824,"[0.05684509091698102, 0.07324685147902725]"
15,0D,-0.00898532337202012,1000,0.19700380379277083,"[-0.021195745634980764, 0.003225098890940527]"
15,1D,0.06376232195041673,1000,0.13150941951885986,"[0.05561128368127117, 0.07191336021956228]"
