extractNo,varType,mean,count,std,ci95
5,0D,0.002776051392869043,1000,0.058046464268871445,"[-0.0008217057364315558, 0.0063738085221696425]"
5,1D,0.05820943681400613,1000,0.03097598288182286,"[0.05628952550409478, 0.06012934812391748]"
6,0D,0.0026634713824137675,1000,0.0551154944413648,"[-0.0007526223548870552, 0.00607956511971459]"
6,1D,0.05434288870203811,1000,0.028418101121122197,"[0.05258151654617139, 0.05610426085790483]"
7,0D,0.0011837304171090361,1000,0.05210687510831624,"[-0.002045887161976724, 0.0044133479961947965]"
7,1D,0.05079217939168133,1000,0.02784524444638565,"[0.04906631326036857, 0.0525180455229941]"
8,0D,-0.0002379565420940316,1000,0.04950384622144019,"[-0.0033062367192640664, 0.002830323635076003]"
8,1D,0.04856758201355667,1000,0.026741600725214996,"[0.046910120428775064, 0.05022504359833827]"
9,0D,-0.005631750255843173,1000,0.04822352321475139,"[-0.008620675190912915, -0.0026428253207734296]"
9,1D,0.04495061186187519,1000,0.026211818939486497,"[0.04332598649236675, 0.04657523723138363]"
10,0D,-0.005762673283951868,1000,0.046421086372397995,"[-0.008639882026117016, -0.0028854645417867213]"
10,1D,0.04347010994481756,1000,0.025369659977886285,"[0.04189768212853246, 0.045042537761102654]"
11,0D,-0.007886362853854852,1000,0.044170943207819564,"[-0.010624106277774072, -0.005148619429935633]"
11,1D,0.04098220599407185,1000,0.025056003982554562,"[0.03942921877778826, 0.04253519321035545]"
12,0D,-0.007679124401752618,1000,0.041939824423594715,"[-0.010278581650736526, -0.00507966715276871]"
12,1D,0.040555954745133085,1000,0.02373558476140781,"[0.03908480796006924, 0.04202710153019693]"
13,0D,-0.006387629505500021,1000,0.040714462950113564,"[-0.008911138063504808, -0.003864120947495234]"
13,1D,0.04005473450526423,1000,0.024660397935332853,"[0.03852626720582163, 0.04158320180470683]"
14,0D,-0.002295446505560106,1000,0.03948092468173847,"[-0.004742499569587604, 0.00015160655846739243]"
14,1D,0.040996750801536606,1000,0.025260892127563585,"[0.03943106448645862, 0.042562437116614595]"
15,0D,0.001655359161559911,1000,0.03953678539644055,"[-0.0007951561854351822, 0.004105874508555004]"
15,1D,0.04200847255454449,1000,0.02504842492868992,"[0.040455955092886235, 0.04356099001620275]"
