extractNo,varType,mean,count,std,ci95
5,0D,0.3566840783255644,1000,0.2580880901225532,"[0.34068761277126297, 0.3726805438798659]"
5,1D,0.26103205291001186,1000,0.09785444046360231,"[0.2549669718538959, 0.26709713396612783]"
6,0D,0.33859021517156623,1000,0.25232722864523055,"[0.3229508115109048, 0.35422961883222764]"
6,1D,0.24826541767579943,1000,0.09764089916445624,"[0.24221357204652777, 0.2543172633050711]"
7,0D,0.3396049325224725,1000,0.23473680322523405,"[0.3250557947248459, 0.35415407032009905]"
7,1D,0.2367142519637548,1000,0.08948188137097514,"[0.2311681074965491, 0.24226039643096053]"
8,0D,0.3280153627906991,1000,0.24355861712457297,"[0.3129194433027581, 0.3431112822786401]"
8,1D,0.23154270382639106,1000,0.09063654032726468,"[0.22592499285562262, 0.2371604147971595]"
9,0D,0.34031033498965796,1000,0.2441965011601871,"[0.3251748790395792, 0.3554457909397367]"
9,1D,0.23294967389934165,1000,0.08929029481595196,"[0.2274154040898415, 0.2384839437088418]"
10,0D,0.3297923572007892,1000,0.2344745569022926,"[0.3152594735986572, 0.3443252408029212]"
10,1D,0.2234850554507205,1000,0.08376873880341976,"[0.21829301522848524, 0.22867709567295577]"
11,0D,0.3199849459537952,1000,0.21716044540071522,"[0.3065252021006024, 0.33344468980698794]"
11,1D,0.21655215660659488,1000,0.07875088814263816,"[0.21167112599047397, 0.2214331872227158]"
12,0D,0.3114747749287819,1000,0.22009822374535384,"[0.2978329456873255, 0.3251166041702383]"
12,1D,0.21193161905930274,1000,0.07879255504874418,"[0.20704800590158542, 0.21681523221702007]"
13,0D,0.3173483705460516,1000,0.213817859008216,"[0.304095802343872, 0.33060093874823115]"
13,1D,0.20383960135982748,1000,0.07541796691919643,"[0.1991651473413352, 0.20851405537831977]"
14,0D,0.32864656295158046,1000,0.21777947709836099,"[0.315148451116263, 0.3421446747868979]"
14,1D,0.20370157540367878,1000,0.07493825501352841,"[0.19905685423714164, 0.20834629657021592]"
15,0D,0.33756526967163314,1000,0.21851590555676856,"[0.3240215135275739, 0.35110902581569237]"
15,1D,0.20362480610555572,1000,0.07467706756854466,"[0.1989962735045774, 0.20825333870653404]"
