extractNo,varType,mean,count,std,ci95
5,1D,0.6194734061782833,1000,0.25312311132919385,"[0.6037846731978023, 0.6351621391587643]"
6,1D,0.5867978527862683,1000,0.25443358216486084,"[0.5710278959818877, 0.6025678095906488]"
7,1D,0.5639025067247352,1000,0.23800729880216454,"[0.5491506615111367, 0.5786543519383337]"
8,1D,0.5531413073081285,1000,0.2407222924172535,"[0.5382211850468627, 0.5680614295693943]"
9,1D,0.5668975772455451,1000,0.247476816129898,"[0.5515588052672246, 0.5822363492238657]"
10,1D,0.5460423460774377,1000,0.24137995240892057,"[0.5310814616275791, 0.5610032305272964]"
11,1D,0.5293563904587496,1000,0.2207723744687943,"[0.5156727769225556, 0.5430400039949436]"
12,1D,0.5180591429139922,1000,0.2276095702437641,"[0.5039517555932336, 0.5321665302347509]"
13,1D,0.5038980168307139,1000,0.22188759648424855,"[0.49014528111787425, 0.5176507525435535]"
14,1D,0.5062708480881333,1000,0.22138153133064176,"[0.4925494786184785, 0.519992217557788]"
15,1D,0.510685056098492,1000,0.2206989827069997,"[0.49700599143082186, 0.5243641207661621]"
