extractNo,varType,mean,count,std,ci95
5,0D,-0.004201432113813021,1000,0.15346933582660555,"[-0.013713560097037948, 0.005310695869411906]"
5,1D,0.15989051669029875,1000,0.09442515566698655,"[0.15403798490795553, 0.16574304847264196]"
6,0D,-0.002848616516134002,1000,0.15425099279185753,"[-0.012409192099997903, 0.0067119590677299]"
6,1D,0.15256500205011633,1000,0.0953875805881165,"[0.14665281855315063, 0.15847718554708204]"
7,0D,-0.004413876720449,1000,0.15695687297935032,"[-0.014142164495885713, 0.005314411054987714]"
7,1D,0.15653048306724907,1000,0.0940133043026136,"[0.15070347809693563, 0.1623574880375625]"
8,0D,0.0003932475844243384,1000,0.15813243876126237,"[-0.009407902513052274, 0.01019439768190095]"
8,1D,0.16096124525894126,1000,0.08961374209986973,"[0.1554069279790857, 0.16651556253879682]"
9,0D,-0.001778782017111373,1000,0.1594646214082564,"[-0.011662501650495509, 0.008104937616272763]"
9,1D,0.16183916930498662,1000,0.08695708574442892,"[0.15644951329198473, 0.16722882531798852]"
10,0D,-0.015670068487058913,1000,0.1608314343079389,"[-0.02563850406164965, -0.005701632912468177]"
10,1D,0.16251230658811372,1000,0.08398879652668653,"[0.15730662704688267, 0.16771798612934477]"
11,0D,-0.006452337382413226,1000,0.1612233476068435,"[-0.016445063994933, 0.003540389230106549]"
11,1D,0.16418902549558273,1000,0.08090188371775799,"[0.1591746747924771, 0.16920337619868836]"
12,0D,-0.006341946656617702,1000,0.16032826373977627,"[-0.01627919539628812, 0.0035953020830527156]"
12,1D,0.15895044663716018,1000,0.07950069533955684,"[0.15402294248949358, 0.16387795078482678]"
13,0D,-0.024617437251215454,1000,0.16307394311582327,"[-0.0347248649617219, -0.01451000954070901]"
13,1D,0.16139459249616303,1000,0.07266137128262438,"[0.15689099404534387, 0.1658981909469822]"
14,0D,-0.015599208714794604,1000,0.16079938039305589,"[-0.025565657567157812, -0.0056327598624313965]"
14,1D,0.16156895274533437,1000,0.07189538611523483,"[0.15711283054705918, 0.16602507494360955]"
15,0D,-0.01715865315871292,1000,0.1616554790993876,"[-0.027178163558629193, -0.007139142758796648]"
15,1D,0.16329162996130353,1000,0.0663903903158152,"[0.1591767109376505, 0.16740654898495655]"
