trialID,analysisVar,varType,stabilityThreshold,mean,sd,median,min,max,ci95
runT25,hip_flexion_r,0D,0.25,19.178571428571427,7.156683047676344,22,4,29,2.650872497876878
runT25,hip_flexion_r,1D,0.25,29.071428571428573,4.174142952481995,28,21,38,1.5461241864740363
runT25,hip_flexion_r,0D,0.5,9.035714285714286,6.201855384002568,8,2,22,2.29719938185609
runT25,hip_flexion_r,1D,0.5,17.571428571428573,5.414455330927778,19,6,28,2.005542320670396
runT25,hip_flexion_r,0D,0.75,5.321428571428571,4.132221569814574,3,2,15,1.5305962890324805
runT25,hip_flexion_r,1D,0.75,10.5,3.3964266937053544,11,4,17,1.2580540528928
runT25,hip_flexion_r,0D,1.0,3.6785714285714284,2.522096228884834,2,2,11,0.9341975165884353
runT25,hip_flexion_r,1D,1.0,6.571428571428571,2.498979383505129,7,3,12,0.9256349172324907
runT25,hip_adduction_r,0D,0.25,13.464285714285714,4.821693114435625,14,6,23,1.785980123069683
runT25,hip_adduction_r,1D,0.25,27.892857142857142,3.9581677373166864,29,17,34,1.466125847258686
runT25,hip_adduction_r,0D,0.5,6.571428571428571,3.858465381734144,6,2,16,1.4291955779388625
runT25,hip_adduction_r,1D,0.5,16.75,4.469140217728046,17,9,25,1.6553927026539652
runT25,hip_adduction_r,0D,0.75,3.8214285714285716,1.8526731927632767,3,2,7,0.6862397540218724
runT25,hip_adduction_r,1D,0.75,9.75,3.2691742076555053,10,4,19,1.2109190724404335
runT25,hip_adduction_r,0D,1.0,2.9285714285714284,1.360897063089832,2,2,7,0.5040833264451423
runT25,hip_adduction_r,1D,1.0,6.75,2.230070466535595,7,2,11,0.8260296604844163
runT25,hip_rotation_r,0D,0.25,18.25,7.16452071968929,18,4,32,2.6537756122174305
runT25,hip_rotation_r,1D,0.25,29.035714285714285,3.4690688628953743,29,22,36,1.2849610889050298
runT25,hip_rotation_r,0D,0.5,8.535714285714286,5.321668259223276,8,2,22,1.9711735083447117
runT25,hip_rotation_r,1D,0.5,16.285714285714285,4.233009254294015,16,8,23,1.5679285698015708
runT25,hip_rotation_r,0D,0.75,3.9285714285714284,2.711464699443187,3,2,12,1.0043405796840033
